"title";"ad_link";"img_link";"price";"price_currency";"transmission";"production_date";"fuel_type";"color";"brand"
"Daewoo Nexia I Рестайлинг";"https://auto.ru/cars/used/sale/daewoo/nexia/1099470632-61fc5371/";"https://avatars.mds.yandex.net/get-autoru-vos/1590523/cd7d8e2306247e1ba1c49ba2a8c7fc6a/320x240";145000;"RUB";"механическая";2012;"бензин";"серебристый";"DAEWOO"
"LADA (ВАЗ) Vesta I";"https://auto.ru/cars/used/sale/vaz/vesta/1099469978-dd1c79ad/";"https://avatars.mds.yandex.net/get-autoru-vos/1567935/5af96c4bc56cf07db6c6526a92c3ea97/320x240";490000;"RUB";"роботизированная";2017;"бензин";"белый";"VAZ"
"LADA (ВАЗ) Vesta I";"https://auto.ru/cars/used/sale/vaz/vesta/1099469644-bc201ce6/";"https://avatars.mds.yandex.net/get-autoru-vos/2160421/d9bd30d51c59e89a2b9bf1441fa2ce03/320x240";499000;"RUB";"роботизированная";2016;"бензин";"чёрный";"VAZ"
"Ford Focus II Рестайлинг";"https://auto.ru/cars/used/sale/ford/focus/1099465882-768937fa/";"https://avatars.mds.yandex.net/get-autoru-vos/2188480/bdad1c98864359fff40814f9110e6bd2/320x240";319000;"RUB";"механическая";2008;"бензин";"чёрный";"FORD"
"Nissan Note I";"https://auto.ru/cars/used/sale/nissan/note/1099466578-e4c85cbb/";"https://avatars.mds.yandex.net/get-autoru-vos/2107167/7dbdf9eb0cf2e5cb3f1c15ac8cd11e04/320x240";427000;"RUB";"автоматическая";2008;"бензин";"чёрный";"NISSAN"
"LADA (ВАЗ) Kalina I";"https://auto.ru/cars/used/sale/vaz/kalina/1099469908-2056af00/";"https://avatars.mds.yandex.net/get-autoru-vos/1923447/855914c2dd83e1c5a53713d88a50a969/320x240";179000;"RUB";"механическая";2012;"бензин";"чёрный";"VAZ"
"BMW X3  I (E83) Рестайлинг 25i";"https://auto.ru/cars/used/sale/bmw/x3/1099464112-6c41b3d2/";"https://avatars.mds.yandex.net/get-autoru-vos/1893639/dfdb56ceb4880b2929951f742f572b63/320x240";489674;"RUB";"автоматическая";2007;"бензин";"красный";"BMW"
"Audi A4 V (B9)";"https://auto.ru/cars/used/sale/audi/a4/1099480030-346cd073/";"https://avatars.mds.yandex.net/get-autoru-vos/2091183/e43ebdcdabcfd670d5a1a4e950b9cb60/320x240";1985000;"RUB";"роботизированная";2018;"бензин";"серый";"AUDI"
"Hyundai Sonata  IV (EF) Рестайлинг ТагАЗ";"https://auto.ru/cars/used/sale/hyundai/sonata/1097408131-6665a7bf/";"https://avatars.mds.yandex.net/get-autoru-vos/2186896/bf4d720486421b4e485e6ed25d6edbb5/320x240";250000;"RUB";"механическая";2008;"бензин";"красный";"HYUNDAI"
"Toyota Corolla  VI (E90) i";"https://auto.ru/cars/used/sale/toyota/corolla/1099476292-11b776cc/";"https://avatars.mds.yandex.net/get-autoru-vos/2057783/d86af5225edb02bdf1672ea6e2f46db7/320x240";30000;"RUB";"механическая";1992;"бензин";"чёрный";"TOYOTA"
"Toyota Camry V (XV30)";"https://auto.ru/cars/used/sale/toyota/camry/1094425812-e96a33de/";"https://avatars.mds.yandex.net/get-autoru-vos/2155280/74c285885484eb3643671f09b7268763/320x240";360000;"RUB";"механическая";2003;"бензин";"серый";"TOYOTA"
"Ravon Nexia R3";"https://auto.ru/cars/used/sale/ravon/nexia_r3/1099465892-d5166293/";"https://avatars.mds.yandex.net/get-autoru-vos/2072159/12600f60ad97bf6b55293e8fb3324a94/320x240";489000;"RUB";"автоматическая";2016;"бензин";"синий";"RAVON"
"BMW 6 серия  II (E63/E64) 630i";"https://auto.ru/cars/used/sale/bmw/6er/1099480426-bc3587f3/";"https://avatars.mds.yandex.net/get-autoru-vos/1970300/9416e972b627fc89a7a412dbc47fb3c0/320x240";750000;"RUB";"автоматическая";2007;"бензин";"чёрный";"BMW"
"BMW 5 серия  VI (F10/F11/F07) 523i";"https://auto.ru/cars/used/sale/bmw/5er/1099412704-455c0fe4/";"https://avatars.mds.yandex.net/get-autoru-vos/2075603/3425a30f91c461932b60c3fe0c946f2f/320x240";1050000;"RUB";"автоматическая";2010;"бензин";"чёрный";"BMW"
